이름,유형,위치,평점,가격
호텔 더 디자이너스 홍대,2성급,마포구 합정역2호선 도보 5분,7.7,"198,111원/1박"
라이즈 오토그래프 컬렉션 바이메리어트,블랙,마포구 홍대입구역 도보 3분,9.7,"501,111원/1박"
홍대입구역 연트럴파크 다이닝룸 | 탠저린스테이 홍대,홈&빌라,마포구 경의선숲길 차량 5분,10,"326,666원/1박"
메종드웨이브3,게스트하우스,마포구 홍대입구역 도보 2분,9.8,"367,666원/1박"
메종드 웨이브4,게스트하우스,마포구 홍대입구역 도보 1분,10,"632,555원/1박"
브라더 하우스,게스트하우스,마포구 홍대입구역 차량 4분,10,"366,666원/1박"
메종드 웨이브2,게스트하우스,마포구 홍대입구역 도보 1분,3.7,"628,111원/1박"
