숙소명,숙소유형,위치,평점,가격
고양(주교) 트라움,모텔,고양시청 도보 약 5분,4.4,"17,000원"
고양(주교) 스테이 월 호텔,모텔,고양시청 도보 3분거리,4.8,"25,000원"
고양 HOTEL THE WYNN,모텔,스타필드 차량 5분거리,4.9,"50,000원"
고양(주교) XYM 호텔,모텔,고양시청 도보 약 4분,4.7,"25,000원"
고양(주교) 럭스,모텔,원당역 도보 약12분,4.7,"20,000원"
고양(화정) 프라자,모텔,화정역 3번출구 도보 3분,4.6,"20,000원"
고양(주교) 호텔 라엘르,모텔,고양시청 도보 약 2분,4.7,"25,000원"
고양(행신) 호텔 유지,모텔,고양시 덕양구 행신2동,4.9,"30,000원"
