숙소명,숙소유형,위치,평점,가격
호텔아델라 부산 영도,호텔,영도구 남포역 도보 5분,4.6,"150,000원"
엘모멘토 송도,호텔,부산 송도 해상케이블카 바로 앞,4.5 (256),"159,000원"
서면 티티 호텔,3성급 호텔,서면역 11번출구 도보 5분,4.3 (797),가격 정보 없음
하운드 해운대 1호점 시그니처,호텔,"해운대 해수욕장, 해운대역 도보 5분",4.5 (548),"210,000원"
오션스카이 오실라,호텔,송도해수욕장 도보 8분,4.8 (156),"277,000원"
하운드 남포 프리미어,호텔,자갈치역 3번출구 도보 2분,4.6,"150,000원"
베이하운드 호텔,2성급 호텔,남포역 800m,4.5,"96,000원"
르컬렉티브 해운대 패러그라프,호텔,해운대구 우제1동,4.7 (198),"240,620원"
신라스테이 서부산,4성급 호텔,강서구 명지동,4.8,"198,000원"
롯데 호텔 부산,5성급 호텔,서면역 7번출구 도보 2분,4.8,"302,500원"
